Marca temporal,¿Qué herramienta estás evaluando?,1. La herramienta fue fácil de usar,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados.",3. La herramienta me pareció innecesariamente compleja.,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos.",5. Encontró inconsistencias en el funcionamiento de la herramienta.,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.).",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés.,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje.,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase.,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante.,11. El juego facilitó mi participación durante la actividad.,12. Explica cómo influyó el juego en tu participación.,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés?,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta?,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías?",¿Qué herramienta estás evaluando? 2,1. La herramienta fue fácil de usar 2,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados. 2",3. La herramienta me pareció innecesariamente compleja. 2,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos. 2",5. Encontré inconsistencias en el funcionamiento de la herramienta.,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.). 2",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés. 2,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje. 2,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase. 2,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante. 2,11. El juego facilitó mi participación durante la actividad. 2,12. Explica cómo influyó el juego en tu participación. 2,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés? 2,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta? 2,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías? 2",¿Qué herramienta estás evaluando? 3,1. La herramienta fue fácil de usar 3,"2. Si tuviste dificultades al usar la herramienta, explica qué aspectos fueron complicados. 3",3. La herramienta me pareció innecesariamente compleja. 3,"4. Si consideras que la herramienta fue compleja, describe qué elementos fueron confusos. 3",5. Encontré inconsistencias en el funcionamiento de la herramienta. 2,"6. Describe qué inconsistencias encontraste (por ejemplo: botones que no funcionan, instrucciones poco claras, errores en el juego, etc.). 3",7. Las actividades del juego me ayudaron a comprender mejor el contenido en inglés. 3,8. Explica por qué consideras que el juego ayudó o no ayudó a tu aprendizaje. 3,9. El uso del juego hizo que la actividad fuera más interesante que una actividad tradicional de clase. 3,10. Explica qué aspectos hicieron la actividad más interesante o menos interesante. 3,11. El juego facilitó mi participación durante la actividad. 3,12. Explica cómo influyó el juego en tu participación. 3,13. ¿Qué aspectos de la herramienta te ayudaron más a aprender inglés? 3,14. ¿Qué dificultades o problemas encontraste al utilizar la herramienta? 3,"15. Si pudieras mejorar estas herramientas para aprender inglés, ¿Qué cambios realizarías? 3"
2026-04-16 10:23:37.841,Duolingo,5,No fue difícil de usarla ya que es muy explicativa e intuitiva.,1,No fue compleja,2,Para continuar cuando se confirma la respuesta de la pregunta y al pasar a la siguiente se debe aplastar dos veces el botón de continuar.,5,Porque al responder cada pregunta me explicaba la traducción en mi idioma.,5,Preguntas de audio que también hacen que puedas escuchar la correcta pronunciación y además caricaturas que acompañan a las preguntas.,5,"Todas las preguntas hacen que la participación sea activa, al completar oraciones o responder preguntas.",En las preguntas con audio me hacen aprender mas sobre mi pronunciación.,"Ninguna, la herramienta es de fácil uso.","Agregaría un apartado para seleccionar en que ámbito del idioma quiero mejorar, gramática, vocabulario, estructura, etc.",Grammar Ninja,2,No ofrece un aprendizaje progresivo únicamente presenta sets de gramática. Y presenta muchos gráficos confusos.,4,No existió una explicación previa sobre lo que se trata las actividades a realizar.,4,las instrucciones no son claras ni tampoco existe algo que mida el nivel de la persona.,3,El juego explica ciertas acciones pero no da retroalimentación de las equivocaciones.,2,Las actividades fueron muy lineales y repetitivas,2,EL juego cuenta con un temporizador para responder las preguntas del set pero eso presiona a la persona a contestar rápido.,La práctica de la gramática.,Poca explicación sobre el uso de la herramienta.,"Mejorar la explicación de las actividades que se van a realizar además de medir el nivel de inglés que tiene la persona, también considerar los aspectos en los que el usuario quiere mejorar y hacerlo mas atractivo visualmente.",British Council Games,4,La herramienta es clara pero poco intuitiva acerca del nivel de aprendizaje.,2,No fue compleja de utilizar.,2,En algunas partes del juego se traba y no permite enviar las respuestas.,3,El juego consta con diferentes opciones a mejorar pero no ofrece una traducción para saber si lo que respondí esta bien o mal.,3,Me pareció interesante que ofrece respuestas de opción múltiple pero también hace que el usuario no tenga una retroalimentación en su idioma.,3,Existe una barra de tiempo para responder cada pregunta que me apresuró en las respuestas.,Ayuda con diferentes opciones para aprender.,La barra de tiempo es sumamente rápida y no permite seleccionar el nivel de inglés de las personas.,Hacerla mas intuitiva y implementar niveles de inglés. Además de quitar la barra del tiempo para no presionar al usuario.
2026-04-16 10:24:41.329,Duolingo,4,Al inicio hubo muchas preguntas para empezar que no eran sobre el conocimiento de inglés.,1,Fue sencilla de usar,1,No encontré inconsistencias,5,Porque me estructuraron bien las preguntas y las podía contestar fácilmente y si me equivocaba me daba la oportunidad de responder correctamente,5,"Que cada ejercicio te hacia aprender más, y te reforzaba con otros ejercicios.",5,"El juego me dejaba realizar los ejercicios y me hacía completar, a diferencia de otros que te ayudan o te dan pistas.","Cuando me dictan las oraciones puedo entrenar al oído, y puedo entrenar la pronunciación cuando me hace hablar en diferentes ejercicios.","No encontré como tal problemas, podría ser que las oraciones son algo parecidas y se pierde la dificultad de la lección al seguir avanzando.",Cambiaría un poco más las oraciones para tener un reto mayor para los que tienen un nivel alto en el inglés,Grammar Ninja,5,No tuve ningún problema.,1,Todo estuvo claro al inicio.,1,Todo estaba bien.,5,Porque había palabras compuestas que no conocía y gracias a la aplicación las aprendí.,5,Porque te daba un límite de tiempo para responder y eso también le dió emoción al juego.,5,Paso directamente a enseñar y eso resulto muy cómodo.,En la relación de las palabras compuestas con las imágenes.,No encontré ningún problema.,Una breve explicación para usuario que no son expertos la puedan usar porque la aplicación directamente te pasa a los ejercicios.,British Council Games,4,"No tuve dificultades, solo que la publicidad es molesta",1,La herramienta estuvo fácil de usar.,1,En la aplicación no tuve problemas.,5,Si me ayudo a recordar las preposiciones.,3,Los ejercicios parecieron a las actividades que dan en las mismas clases presenciales.,5,"Me ayudó a pensar más rápido, porque había un tiempo para responder la pregunta y si me tomaba un tiempo yame bajaban los puntos.",En qué está muy bien estructurado por temas y puedo ir a buscar lo que necesite aprender.,"Demasiada publicidad, se pierde la experiencia del usuario por las publicidades.",Que no haya publicidad.
2026-04-16 10:29:15.001,Duolingo,4,No tuve dificultades al usar la aplicacion,2,No fue complejo entender como funciona,2,"En algunas lecciones no esta claro como se debe resolver el ejercicio. A veces se tiene que traducir, ordenar palabaras o escuchar el audio y poner las palabras en orden. No tiene algunas instrucciones claras.",4,"Ayudó a reforzar vocabulario, pone varios ejercicios que ayudan a entender estructuras del idioma igual.",4,"Es iteractivo, y hay todo tipo de ejercicios en tan solo 10 minutos",4,"El juego hizo la actividad más dinámica y motivadora, lo que aumentó mi participación y atención.","Los ejercicios interactivos, la repetición y el uso de audio ayudaron a mejorar mi comprensión y vocabulario.",Algunas instrucciones eran poco claras y el sistema a veces marcaba respuestas correctas como incorrectas.,"Mejoraría la claridad de las instrucciones, el reconocimiento de respuestas y añadiría más ejemplos reales.",Grammar Ninja,4,En algunos momentos no es muy claro qué tipo de respuesta se espera y el tiempo limitado genera presión al responder.,2,Algunas instrucciones no son totalmente claras y la retroalimentación no siempre explica por qué una respuesta es incorrecta.,3,"Algunas instrucciones no son claras y cambian entre ejercicios, además la retroalimentación no siempre explica bien los errores. También el tiempo límite puede ser inconsistente y generar presión en ciertas actividades.",4,"El juego ayudó porque hace el aprendizaje más dinámico y práctico, facilitando la comprensión de los phrasal verbs.",5,"La dinámica de juego, el tiempo real y la interacción lo hicieron más entretenido que una actividad tradicional.",4,"El juego hizo la actividad más dinámica y motivadora, lo que facilitó mi participación y atención durante la clase.","La dinámica interactiva, el uso de imágenes y la práctica rápida ayudaron a comprender mejor los phrasal verbs.",Algunas instrucciones no eran claras y el tiempo limitado generaba presión al responder.,"Mejoraría la claridad de las instrucciones, aumentaría el tiempo y añadiría mejores explicaciones de los errores",British Council Games,5,"En general es fácil de usar, aunque algunas preguntas pueden ser confusas por el tiempo limitado.",2,"No fue tan compleja, la interfaz es clara y fácil de entender.",2,Algunas preguntas pueden ser ambiguas y el tiempo a veces es muy corto.,4,Ayuda a reforzar gramática y vocabulario de forma rápida y práctica.,5,El formato de juego y el tiempo real lo hacen más dinámico y entretenido.,4,El juego motiva a participar más por su dinámica rápida y competitiva.,"La práctica rápida, la variedad de preguntas y el enfoque en gramática ayudaron al aprendizaje.",El tiempo limitado y algunas preguntas confusas dificultan un poco la experiencia.,"Aumentaría el tiempo, aclararía algunas preguntas y añadiría mejores explicaciones de respuestas."
2026-04-16 10:29:18.245,Duolingo,5,No tuve ninguna dificultad.,2,"El tema de competir con otras personas en ""Divisiones"" puede ser un poco confuso.",1,No encontré ninguna inconsistencia.,4,El juego ayuda porque de manera repetitiva te obliga a memorizar palabras y frases.,4,Es interesante que haya retroalimentación en caso de fallos y apoyo (visual y auditivo) en caso de múltiples fallos.,5,Tienes que pasar niveles en cada lección entonces te incentiva a completarlo todo.,La repetición de ejercicios.,Ninguno.,Le agregaría ejemplos reales de personas hablando inglés.,Grammar Ninja,5,No tuve dificultades.,2,Puede considerarse algo complejo que desde el inicio todo está en inglés.,1,No encontré inconsistencias.,2,Creo que ayuda a practicar ciertas cosas pero para alguien nuevo no le aporta conocimiento real solo se basa en memorizar una relación entre imágenes y frases.,3,Es casi igual a las clases en donde te hacen repetir cosas en inglés hasta que te salga bien.,3,"Al no haber un tiempo límite para responder se vuelve algo aburrido, además se vuelve muy repetitivo ya que solo debes seleccionar la respuesta correcta.",La relación entre frases e imágenes.,Que al estar todo siempre en inglés sin ninguna explicación no se da un correcto aprendizaje.,"Le agregaría retroalimentación, mayor variedad de actividades para realizar y cambiaría la interfaz a español para que las personas que no saben nada del idioma puedan entender qué están haciendo.",British Council Games,2,Al estar todo en ingles y no tener una interfaz intuitiva se complica poder iniciar a aprender.,5,Hay demasiados pasos que hacer antes de poder empezar una lección.,4,Al tener 0 puntos y responder mal una pregunta te quedas con 0 en lugar de puntos negativos.,1,Solo te ponen a responder preguntas que en caso de fallar da paso a la siguiente.,2,Más que un juego parece una lección en clase que te dice si acertaste o no al instante.,2,Se vuelve muy repetitivo ya que lo único que se puede hacer es seleccionar una de las respuestas.,"Ninguno ya que para jugarlo hay que tener ya cierto conocimiento de inglés, además el único tipo de retroalimentación para saber si te equivocaste es ver si te restan puntos al responder.",Que ingresar a una lección ya es difícil porque todo está en inglés y deber conocer un poco el idioma para saber a qué tipo de lección estás entrando.,"Dar una mejor retroalimentación, tener actividades más variadas, poner la interfaz en español y hacerla más intuitiva de usar, además de tener menos pasos para ingresar a una lección."
2026-04-16 10:32:31.574,Duolingo,5,"Al momento de escribir en la pantalla de mi celular, el teclado no me permitía visualizar lo que escribía.",2,"El ícono de una batería no lo entendía, no tiene un significado obvio hasta que utilizas la aplicación y sabes cómo funciona.",1,No hubo ninguna inconsistencia.,1,"El juego no da explicaciones como tal para aprender. Yo pienso que esto sirve más para recordar lo que tú ya conoces y además, para conocer nuevas palabras, en algunas ocasiones.",4,"El juego ofrece ejercicios para practicar las habilidades más importantes de un idioma. Como el leer, escuchar, escribir.",5,El juego en cada pregunta me pedía que completara una oración o hablará o eligiera una opción acorde a la pregunta o situación que se me planteaba.,"Siento que los ejercicios que plantean son buenos para reforzar el conocimiento, más no para aprender el idioma.","Los ejercicios siento que son repetitivos, es por  eso que no existe una mejora en el aprendizaje de este idioma.","Permitiría que haya una opción gratuita para poder hablar el idioma. Eso no existe actualmente y para mí, la mejor manera de aprender algo es utilizándolo en la vida cotidianda. Por lo tanto, el hablar te incentiva a aprender.",British Council Games,3,"No tuve complicaciones, pero para una persona que no se lleva bien con la tecnología siento que se perdería con la cantidad de opciones que tiene esta plataforma. Además, mantiene un diseño antiguo, por lo que siento que la página web no ha tenido actualizaciones o mejoras en ese aspecto.",3,Tiene mucha información (texto) en cada página. Trataría de exponer al usuario la menor cantidad de información posible.,1,Todo funcionó correctamente.,2,"Para mí son actividades que no tienen un valor agregado y no te motivan a continuar con el aprendizaje. Sin embargo, considero que sí tienen un contenido demasiado extenso y útil para el aprendizaje.",1,Las actividades se parecen a una actividad tradicional de la clase donde el profesor te da los recursos y tú practicas. Por ejemplo te ponen textos o videos y en base a eso tú debes responder preguntas. Ese aspecto es el que hizo que la página web no fuera tan interesante.,2,"No motiva a la participación, más bien parece que te obliga a realizar actividades que no quieres. Pero como dije en un principio, tiene una variedad de contenido y tú puedes escoger si te interesa o no.",Siento que los videos son una parte esencial para practicar el inglés y especialmente si esos videos son reales.,No tiene una buena retroalimentación en el momento que te equivocas. Por lo tanto sería bueno que te expliquen los errores que hayas cometido en esa actividad.,"Mejoraría el diseño de la página web, con una paleta de colores que atraiga a los usuarios.",Grammar Ninja,3,En los minijuegos no entendía que era lo que debía realizar. Si pasaba un buen rato hasta comprender cómo completar el juego.,3,"En los minijuegos no existe una instrucción clara de lo que se debe realizar y además existe una barra de temporizador el cual te frustra porque si se termina creo que vuelves a reiniciar el juego o ya perdiste. Estaría bien que hayan 2 modos de juego, uno con tiempo y otro sin límite de tiempo.",4,Instrucciones poco claras.,4,Siento que cada juego tiene su breve descripción de lo que vas a aprender y es más fácil decidir si quieres jugarlo o no.,5,Hay una variedad de minijuegos con diferentes mecanismos para responder las preguntas.,4,En todo momento debía responder preguntas y eso como que mantiene activo al usuario durante el aprendizaje de un nuevo idioma.,Habían imágenes y audio que permitía identificar de lo que se trataba cada ejercicio.,No existen instrucciones claras de cómo jugar o responder las preguntas.,"Añadiría una opción de ofrecer instrucciones al usuario. Además, crearía una ruta de aprendizaje, que creo que es lo que le hace falta a todos los juegos probados."
2026-04-16 10:33:23.203,Duolingo,4,Bastante intuitiva y sencilla,1,Todo es bastante intuitivo,1,esta correcto el funcionamiento,3,Le faltan ejercicios de gramática,4,Retuvo bastante mi atención,4,"Bastante, botones claros","El vocabulario, enfocado en situaciones",Siento que no aprendo gramatica,Mas enfoque en gramatica,Grammar Ninja,4,La interfaz en celulsres es deficiente,3,Bastante intuitiva,2,La interfsz no esta bien cuadrada,4,Bastante buenas las imagenes para entender la palabra,3,Sigue siendo una hoja de trabajo digital en inglés,5,Actividades interesantes y llamativas,Las palabras que tienen que ver con la gramática,Me parwcio aburrida en cierto punto,Mejores actividades e interfaz llamativa,British Council Games,4,Interfaz muy buena,2,esta muy bien implementada,5,Los anuncios,4,Muy buena organización del contenido,4,No mjy diferente de un woorkbook,5,Las actividades llamaron mi atención,El contenido amplio y organizado,Los anuncios no me agradan,Una mejlr forma de usar los anuncios
2026-04-16 10:36:32.908,Grammar Ninja,4,La herramienta es sencilla de usar.,1,No me pareció compleja.,3,No se muestran instrucciones para jugar.,5,Ayudó debido a que se muestran ejercicios visuales que ayudan a la comprensión.,4,"Es un juego didáctico de escoger la opción correcta, es interesante que otorga retroalimentación instantánea al seleccionar una opción.",4,Las acciones del juego son intuitivas.,El formato gráfico de las respuestas que ayudan a relacionar las palabras con los conceptos.,Ninguno.,"Pondría niveles de dificultad, puede ser poco retador para personas que quieren aprender conceptos más avanzados.",British Council Games,4,Hay varias opciones.,2,No me pareció compleja.,2,No se muestran instrucciones,4,Permite repazar palabras en un formato de opción múltiple.,4,Es un desafío contrareloj que puede ser entretenido.,4,Me ayudó a recordar y aprender nuevo vocabulario.,El vocabulario variado y la cantidad de ejercicios.,"La herramienta no da retroalimentación auditiva, clave en el aprendizaje de un nuevo idioma.",Agregaría una pista de audio para las palabras y haría una aplicación un poco más agradable visualmente.,Duolingo,5,No se presentaron dificultades.,1,No  me pareció compleja.,1,Ninguna,5,Ayudó porque las actividades tienen una retroalimentación clara al responder.,5,Se tienen varias modalidades de juego desde pares hasta completar frases.,5,El juego facilitó la participación mediante las distintas actividades que se pueden realizar.,Los distintos niveles de dificultad que ofrece.,Ninguno.,"Usar contenido realista, se utilizan frases que uno no va a usar en la vida real."
2026-04-16 10:38:01.020,Duolingo,4,Cambio de credenciales,1,Ninguna,3,Pequeños errores de palabras,5,Es entretenido y Didáctico,4,"Ejercicios de emparejamiento, historias, Ejercicios de escucha.",5,"Te incita a seguir usando la app, sus animaciones son entretenidas",Emparejamiento y competitividad con otros usuarios,"Espacios de tiempo sin respuesta de la app, hasta 3s",Retroalimentación personalizada para cada usuario,British Council Games,3,No tiene una interfaz muy intuitiva,3,Menús de opciones,1,Ninguna,2,Porque exige conocimiento previo para poder usar la app,3,Competitividad,2,Interfaz no llamativa,Vocabulario,Interfaces poco llamativas,Interacción e interfaces,Grammar Ninja,5,Ninguna,1,,2,Errores en tiempos de carga,4,Porque ayuda a relacionar palabras con conceptos,5,"Divertida, animaciones llamativas",5,Te motiva a seguir con sus animaciones.,Relacionar palabras,Ninguno,"Mas animaciones, integración con audio"
2026-04-16 10:42:27.665,Duolingo,4,"Ninguna, es bastante intuitiva",2,Ninguno,3,Gran variedad de opciones y alternativas,3,A formular oraciones,4,Las diferentes recompensas hacen que la actividad sea mas entretenida,3,Hace que me mantenga activo a realizar las actividades,La retroalimentación al momento de equivocarme en alguna pregunta,Hay muchas alternativas las cuales no se explican de manera clara,Ser mas explicativa en todos los campos que tiene,British Council Games,1,No entiendo como empezar a usarla,5,Tiene opciones que no llevan a nada,4,No podía iniciar la reunión,2,Como lo mencione no pude completar mis lecciones,2,Tiene una interfaz muy rustica,2,Desmotivo mi participación,Realmente ninguno,Es muy poco intuitiva,Tener una interfaz mas atractiva,Grammar Ninja,4,Ninguna,2,No hubo complejidad al usar,2,Ninguna,4,Hubo una retroalimentación correcta y no agresiva,3,La forma en la que podía seguir intentando el ejercicio y como gráficamente veía si era correcto o no,4,Hizo que quisiera completar y aprender mas del tema,El tipo de lecciones presentada,No tener un menú de opciones,Que existiera un menú para ver las opciones y progreso
2026-04-16 10:43:41.011,Grammar Ninja,5,ninguna,1,ninguno,2,En celular no carga toda la sección de abajo,5,Ayudo bastante poder escoger los sets que quisiera en cualquier momento,5,"Practicar los phrasal verbs de esta forma fue interesante, Me gustaba que la ronda te hicera repetir el ejercicio pero de diferentes maneras, primero colacando la respuesta y luego solo viendo la imagen colocar toda la oración",5,El tiempo y el puntaje me hacían que me concentrara mas,las imagenes con el phrasal verbs,ninguna muy simple,"agregar mas sets, diria que despues de una media hora o mas probando ya se conoce todos los sets",Duolingo,5,ninguno,1,Ninguno,1,ninguna,5,"El juego tiene niveles basados en la experiencia del usuario , muy bueno",5,Las lecciones de corta duración se me hacen interesantes en cualquier momento puedo practicar,5,Tener vidas hace que se tome en serio una lección,las de practicar el speaking,ninguna,Talvez un apartado solo para speaking o filtros por temas,British Council Games,5,ninguna,1,ninguno,1,ninguno,5,Esta muy bien organizado por categorias,5,Responder en 60 segundos se me hace poco interesante,5,El puntaje y tanta variedad de preguntas,la gran cantidad de categorias,ninguna,lecciones que combien un poco de todo
2026-04-16 10:47:45.427,Duolingo,5,No tuve dificultades ya que la aplicación en si es muy intuitiva y fácil de usar,1,No fue compleja a comparación de los otros ya que en si te da opciones o traducciones en caso  de que no sepas alguna palabra,1,Ninguna inconsistencia me pareció bien todo,4,En si la app ayuda mucho en lo que es vocabulario mas no ayuda mucho en oraciones u otros temas un poco mas complejos,5,"La verdad es que si, bueno en si en las clases no siempre tienes los mismo profesores por lo que hay profesores que solo leen diapositivas y hay otros que te hacen interactuar y todo y la aplicación en si te hace hablar, completar palabras y así haciéndolo divertido",5,En si en mejorar la pronunciación ya que al momento de hablar puedes saber si estas hablando correctamente como un nativo,En si lo visual la interfaz es muy llamativa y los botones precisos no hay que hacer tanto clic para llegar a otra actividad o empezar una actividad entonces eso es muy favorable para la aplicación,No encontré ningún problema en esta aplicación,En si el único cambio que haría es que haya mas contenido referente a todos los contenidos que se necesita saber como el verbo to be y así ya que en la aplicación solo aprendes vocabulario,Grammar Ninja,3,Ósea si hay un poco de dificultad al momento de usar la herramienta ya que en la interfaz los botones para saber que tema o que quieres aprender están fuera de la vista si no moneas la pagina no sabes que hay esos botones,3,Por sus botones y no hay affordances metafóricos lo que a uno lo hace entrar a cualquiera pestaña para saber que hace,3,En si no hay instrucciones de lo que se debe hacer hay que adivinar jugando para saber que se va hacer,2,En si no me ayudo ya que no hay instrucciones claras por lo que no se sabe que hay que hacer y tampoco hay una traducción instantánea para poder saber que se dice y así aprender de mejor manera,2,No ya que no es entendible y no hay una ayuda que te ayude a saber que dice o que vas aprender,3,No influyo ya que no hay una buen diseño y faltan muchas cosas para que sea mas llamativa,"En si lo único bueno en mi opinión son el vocabulario ya que te da una imagen del animal, fruta, etc., y como se pronuncia en ingles",El problema de los botones hay que monear la app para saber que tiene mas opciones y no hay instrucciones claras de lo que se tiene que hacer en cada actividad,Mejorar la interfaz para que sea mas usable y llamativo para los usuarios también poner traducciones y enunciados respecto a lo que se debe realizar,British Council Games,4,No tuve dificultades,3,No es compleja solo que hay muchos anuncios demasiados,3,No hay inconsistencias,3,En si igual a pesar de ya tener ciertos conocimientos respecto al ingles siento que solo al ponerte una oracion y palabras para seleccionar no sabes que tienes que hacer realmente o en que tiempo conjugar los verbos entonces falta información,3,La verdad es que no ya que le falta información y sus anuncios hacen que cada que quieras pasar a otra actividad pierdas 1 minutos viendo cosas innecesarias,3,No ya que no se sabe que hay que hacer realmente,Ninguno y los anuncios son los peores,En cuanto dificultad es que no te dicen que tienes que hacer realmente y problemas los anuncios muy innecesarios,La interfaz y no poner muchos anuncios y poner instrucciones claras para cada ejercicio a realizar
2026-04-16 10:47:51.025,Duolingo,5,La verdad no tuve dificultades ya que la aplicación es demasiado intuitiva,1,No fue compleja,1,Ninguna,5,"La aplicación tiene diferentes formas didácticas de enseñar, como lo es escribir las palabras u oraciones, seleccionar las palabras de lo que se te está pidiendo que pongas, traducción de inglés a español y viceversa (lo cual esto ayuda a poder entender que significa la palabra en inglés) también hablar lo que se te pide y si no tienes buena pronunciación no te deja avanzar hasta pronunciar bien.",5,Para mí lo más interesante es los dibujos que se relaciona con las palabras y así se puede entender que significa,5,"En las diferentes actividades de las cuales son demasiadas intuitivas para poder aprender y conocer como funciona, además que tiene niveles y vas avanzando y mientrás mas avanzas mas palabras, gramática aumenta.",Lo que te hace escuchar como se lee o se pronuncia y el que me hicieron hablar para repetir esas palabras,Ninguna,Tal vez poner un poco más de palabras y no repetir la misma varias veces,British Council Games,5,Ninguna,1,Ninguno,1,Ninguna,4,"El juego está demasiado completo, tiene el gramar necesario y actividades para repasar, pero el problema es que no debería de ser con tiempo, porque para una persona que es novata y recién quiere aprender inglés le va a presionar el tiempo y por lo tanto un persona con presión responde al apuro y por ende mal, debería tener más elementos gráficos para que el usuario relaciones el contenido con la imagen y así pueda entender de que trata, también le falta como es la pronunciación.",4,Le hace más interesante el hecho de que podrías como competir con alguien para saber quien respondió mas en los 60 segundos o quién tendría mas puntaje,4,"Influyó de manera positiva, porque hay 3 apartados, el primero que es de grammar, el segundo de words y el tercero que es de spelling, que con esto yo hasta podría practicar para una prueba antes de inglés. El gramar es muy completo.",Para mi lo que más me ayudó aprender fue el de completar las oraciones porque así puedes entender de que trata y relacionar las palabras que se encuentran ahí con la oración.,"Para mí el problema es el cronómetro, para practicar está bien, pero para aprender, no sería lo más óptimo.","En el apartado de grammar, pondría que para que se utiliza cada preposición, conjunción, entre otras, para que el usuario pueda entender para que se utiliza y pueda responder bien las preguntas, también si el usuario elije mal, poner cual es la respuesta correcta y el por que. Además haría tres niveles, el primero que sea de leer para que se usa, el segundo sería para que complete y así pueda entender y el tercero de poner el tiempo para tomar tipo lección y pueda saber su nota total.",Grammar Ninja,5,Ninguno,1,Ninguno,3,"Cuando se acaba el tiempo debería de ya cerrarse para ya no responder más, pero se acaba el tiempo y te deja seguir respondiendo",2,"Solo da a completar la oración dependiendo de la imagen, pero no tiene contenido como de grammar o cosas necesarias para poder aprender el inglés de manera adecuada.",2,Hicieron menos interesantes de que solamente había lo mismo y no había otras cosas o palabras o oraciones para poder entender mejor.,4,"Pude participar de manera correcta, debido a que si te equivocas, se elimina la imagen y te da a conocer cual podría ser la correcta.","El poder completar tanto el sujeto y complemento de la oración, para poder entender como usar los verbos en oraciones.","No está completa, tiene las mismas oraciones, deberpia tener más grammar y complejidad","Agregar más grammar, poner mas interacciones, hacer más intuitiva la página web."
2026-04-16 10:48:43.756,Duolingo,5,no tuve,1,no tuve,1,nada,5,"combinando reading con grammar y estructura de oraciones,  evitando la repetición, vi palabras que no me acordaba o que no sabia directamente",4,"Al completar cada actividad de lectura, los estudiantes reciben gemas como recompensa",4,me hace participar debido a que tengo que completar actividades y al menos en mi primer intento no me puso limite de tiempo,citaciones poco extrañas pero interesantes pero uso de vocabulario extenso,ninguna,no se la verdad esta muy bien pensada la app hasta el enganche,Grammar Ninja,5,ninguna,1,ninguna,1,ninguna por las funciones que probé,5,la repetición el modulo que probé repitió  las mismas palabras  muchas veces,2,interesantes tal vez la variedad de módulos para practicar pero lo menos interesantes es que exageran la repetición y la barra de tiempo que a mi no me gusta,4,Tener que completar la actividad con una barra de tiempo lateral para forzar a contestar rápido,La  repetición y las imágenes,"por el modulo de phrasal verbs es la repetición, de completar la oración, buscar la imagen , formar oraciones pero siempre con las mismas palabras",actualizar la web se  ve muy antigua y poco llamativas las imágenes que usan,British Council Games,3,muchos anuncios,3,no puedo salir hasta que acabe el cronometro  directamente no hay un botón para eso,1,tiene un leaderboard donde a mi por lo menos me carga super lento,3,tiene tres módulos los básicos,1,me desespera la cantidad de anuncios y visualmente es aburrida ademas que jugué como invitado y no me pregunto mi nivel actual,1,"no me gusto se siente aburrida y sin chiste, ademas de que la mascota de la app es aburridor",tres módulos principales y dentro de cada modulo esta mas submodulos osea hay variedad,dentro de un modulo hay mas submodulos osea no es intuitiva tengo que dar mas click de los que quisiera,cambio total desde la interfaz con uso de animaciones mas actualizadas
